type,question,oracle_response
literature,"Who wrote the epic poem The Odyssey?","Homer, the ancient Greek poet, is credited with writing The Odyssey."
literature,"Which play features the characters Rosencrantz and Guildenstern?","They appear in William Shakespeare's Hamlet."
literature,"Who is the author of Pride and Prejudice?","Jane Austen wrote Pride and Prejudice in 1813."
literature,"Which novel begins with the line 'Call me Ishmael'?","Moby-Dick by Herman Melville begins with that line."
literature,"Who created the detective Sherlock Holmes?","Sir Arthur Conan Doyle created Sherlock Holmes."
literature,"Which Russian novel features characters named Raskolnikov and Sonya?","Crime and Punishment by Fyodor Dostoevsky."
literature,"Who wrote the epic poem Paradise Lost?","John Milton wrote Paradise Lost in the 17th century."
literature,"Which author created Middle-earth in fantasy literature?","J.R.R. Tolkien created Middle-earth in works like The Lord of the Rings."
literature,"Who is the tragic king in Sophocles' Oedipus Rex?","King Oedipus is the tragic hero of Oedipus Rex."
literature,"Which American poet wrote The Raven?","Edgar Allan Poe wrote The Raven."
literature,"Who wrote One Hundred Years of Solitude?","Gabriel García Márquez wrote One Hundred Years of Solitude."
literature,"Which play ends with the words 'The rest is silence'?","Hamlet by William Shakespeare ends with that line."
literature,"Who is the author of Don Quixote?","Miguel de Cervantes wrote Don Quixote."
literature,"Which dystopian novel introduced Big Brother?","George Orwell's 1984 introduced Big Brother."
literature,"Who wrote the novel Frankenstein?","Mary Shelley wrote Frankenstein in 1818."
literature,"Which poet is known as the Bard of Avon?","William Shakespeare is often called the Bard of Avon."
literature,"Who wrote The Great Gatsby?","F. Scott Fitzgerald wrote The Great Gatsby."
literature,"Which novel is set on the fictional island of Lilliput?","Gulliver's Travels by Jonathan Swift."
literature,"Who wrote The Divine Comedy?","Dante Alighieri wrote The Divine Comedy."
literature,"Which American author wrote The Grapes of Wrath?","John Steinbeck wrote The Grapes of Wrath."
literature,"Who is the author of Wuthering Heights?","Emily Brontë wrote Wuthering Heights."
literature,"Which Shakespeare play features the line 'All the world’s a stage'?","As You Like It contains that line."
literature,"Who wrote War and Peace?","Leo Tolstoy wrote War and Peace."
literature,"Which novel begins with 'It was the best of times, it was the worst of times'?","A Tale of Two Cities by Charles Dickens."
literature,"Who created the character Huckleberry Finn?","Mark Twain created Huckleberry Finn."
literature,"Which English poet wrote the Sonnets from the Portuguese?","Elizabeth Barrett Browning wrote them."
literature,"Who wrote the play Waiting for Godot?","Samuel Beckett wrote Waiting for Godot."
literature,"Which French author wrote Les Misérables?","Victor Hugo wrote Les Misérables."
literature,"Who is the author of The Catcher in the Rye?","J.D. Salinger wrote The Catcher in the Rye."
literature,"Which playwright wrote Death of a Salesman?","Arthur Miller wrote Death of a Salesman."
literature,"Who created the character Jay Gatsby?","F. Scott Fitzgerald created Jay Gatsby."
literature,"Which novel features Atticus Finch?","To Kill a Mockingbird by Harper Lee."
literature,"Who wrote Brave New World?","Aldous Huxley wrote Brave New World."
literature,"Which poet wrote the Iliad?","Homer wrote the Iliad."
literature,"Who wrote Dracula?","Bram Stoker wrote Dracula."
literature,"Which Russian novel features Pierre Bezukhov?","War and Peace by Leo Tolstoy."
literature,"Who wrote The Canterbury Tales?","Geoffrey Chaucer wrote The Canterbury Tales."
literature,"Which Shakespeare play features Lady Macbeth?","Macbeth features Lady Macbeth."
literature,"Who is the author of Ulysses?","James Joyce wrote Ulysses."
literature,"Which American author wrote Leaves of Grass?","Walt Whitman wrote Leaves of Grass."
literature,"Who wrote The Picture of Dorian Gray?","Oscar Wilde wrote The Picture of Dorian Gray."
literature,"Which novel features the character Elizabeth Bennet?","Pride and Prejudice by Jane Austen."
literature,"Who wrote Anna Karenina?","Leo Tolstoy wrote Anna Karenina."
literature,"Which Greek tragedian wrote Medea?","Euripides wrote Medea."
literature,"Who wrote The Sound and the Fury?","William Faulkner wrote The Sound and the Fury."
literature,"Which English poet wrote Ode to a Nightingale?","John Keats wrote Ode to a Nightingale."
literature,"Who is the author of The Stranger?","Albert Camus wrote The Stranger."
literature,"Which American novel features Captain Ahab?","Moby-Dick by Herman Melville."
literature,"Who wrote The Brothers Karamazov?","Fyodor Dostoevsky wrote The Brothers Karamazov."
literature,"Which poet wrote The Waste Land?","T.S. Eliot wrote The Waste Land."
literature,"Who wrote The Old Man and the Sea?","Ernest Hemingway wrote The Old Man and the Sea."
literature,"Which French author created the Hunchback of Notre-Dame?","Victor Hugo created Quasimodo in The Hunchback of Notre-Dame."
literature,"Who wrote Slaughterhouse-Five?","Kurt Vonnegut wrote Slaughterhouse-Five."
literature,"Which Shakespeare comedy features Puck?","A Midsummer Night’s Dream features Puck."
literature,"Who wrote The Scarlet Letter?","Nathaniel Hawthorne wrote The Scarlet Letter."
literature,"Which English author created Oliver Twist?","Charles Dickens created Oliver Twist."
literature,"Who wrote Things Fall Apart?","Chinua Achebe wrote Things Fall Apart."
literature,"Which poet wrote Because I could not stop for Death?","Emily Dickinson wrote that poem."
literature,"Who wrote The Sun Also Rises?","Ernest Hemingway wrote The Sun Also Rises."
literature,"Which American novelist created Tom Sawyer?","Mark Twain created Tom Sawyer."
literature,"Who is the author of Beloved?","Toni Morrison wrote Beloved."
literature,"Which Irish poet wrote Sailing to Byzantium?","W.B. Yeats wrote Sailing to Byzantium."
literature,"Who wrote Catch-22?","Joseph Heller wrote Catch-22."
literature,"Which author created the Narnia series?","C.S. Lewis wrote The Chronicles of Narnia."
literature,"Who wrote Fahrenheit 451?","Ray Bradbury wrote Fahrenheit 451."
literature,"Which Shakespeare tragedy features King Lear?","King Lear is the central character."
literature,"Who wrote The Bell Jar?","Sylvia Plath wrote The Bell Jar."
literature,"Which novelist created Gregor Samsa?","Franz Kafka created him in The Metamorphosis."
literature,"Who wrote A Passage to India?","E.M. Forster wrote A Passage to India."
literature,"Which Russian author wrote The Idiot?","Fyodor Dostoevsky wrote The Idiot."
literature,"Who wrote A Room of One’s Own?","Virginia Woolf wrote A Room of One’s Own."
literature,"Which American writer created Holden Caulfield?","J.D. Salinger created Holden Caulfield."
literature,"Who wrote Heart of Darkness?","Joseph Conrad wrote Heart of Darkness."
literature,"Which playwright wrote The Importance of Being Earnest?","Oscar Wilde wrote The Importance of Being Earnest."
literature,"Who wrote Of Mice and Men?","John Steinbeck wrote Of Mice and Men."
literature,"Which poet wrote Ode on a Grecian Urn?","John Keats wrote Ode on a Grecian Urn."
